message,sentiment,category
Is it still sex trafficking if they going out there on their own! !! I'm just saying. .,Neutral,Misunderstanding
Sex trafficking is when people are being “trafficked” not individuals who are working for themselves. Most of the girls who are walking the streets and being advertised on places like Craigslist are being trafficked and may look alone but are actually not...,Positive,Aware
The majority of the women especially the teens are not giving consent.,Positive,Aware
If she on the blade .. then she's gonna get fucked period 😂 what's the consent for she signed up for it,Negative,Misunderstanding
Muddgang Ronnie meaning people might be there against their will. As in they aren’t consenting of selling themselves. It’s a difference between having sex with someone on your own terms and not ,Positive,Aware
"Ever heard of gorilla pimps, kidnapped girls, women being forced to do things because they are scared for their safety?",Positive,Aware
Even women/girls lied to and sold false dreams of fast easy money and freedom qualify. And men too though I suppose thats SF.,Positive,Aware
Was just asking a simple question! !! Yes or nooo. Cause some are out there because that's the job they choose like swinging on a pole !!!,Neutral,Aware
Robert Fitzpatrick I’m replying to the other guy. Took your answer as genuine. The first reply was to you no hard feelings.,Neutral,Irrelevant
Self explanatory,Positive,Aware
I cannot believe some of these comments. You really can't grasp the difference between the two?,Neutral,Aware
Ok,Neutral,Irrelevant
A teen is still a child. Children cannot consent to being sold by another person for sex. There are also children as young as 11 out there.,Neutral,Information
Lamo,Neutral,Share/Tag
Pimppin and hoen the best thing going #304 #hoeislife,Negative,Misunderstanding
Yes but if you a pimp with one toothless hoe is bad business lmfao,Negative,Misunderstanding
I love how people on this thread are confusing regular prostitution/free will/thinking with human trafficking. Reasons we still have #LostGirls,Positive,Aware
Exactly. Plenty of ignorant mfs here.,Neutral,Aware
Yup,Neutral,Aware
Lissi Pulotu,Neutral,Share/Tag
Tee Moa,Neutral,Share/Tag
"Problem is that somebody brought this back up like it's something new but in reality this has been going on in Oakland for well over 40 years to my knowledge. My question is who, why, and for what did somebody bring this back up for? What's to be gained if they aren't really going to do anything about it? Honestly prostitution in Oakland is just as much of Oakland culture as Lake Merrit.",Negative,Misunderstanding
There is a difference between prostitution and human trafficking...,Positive,Aware
Prostitution is one of the oldest trades around that’s not the issue here. People can do what they want with their bodies but to be forced to or not have a choice/feel like they don’t have a choice is where the problem is.,Positive,Aware
Micholette Brill great job explaining. In the past it was a choice.,Neutral,Aware
"Hookers are good for  Community. It stops women from getting rapped. Some of those hookers, look good as FUCK.",Negative,Misunderstanding
It's the oldest trade and in times like now you can't really blame them for trying to keep a roof over their head. Woman or Man who's out there working.âœŒ,Neutral,Misunderstanding
There’s prostitution and then there is trafficking,Positive,Aware
"I'm against Sex Trafficking because it's a different game, and age don't matter, sex either. Thanks for correcting me.",Neutral,Aware
Suggested enforcement: start with OPD  Yeah.,Neutral,Aware
"If the few cops on patrol deal with the hundreds of prostitutes up and down international and foothill, they won't be able to do anything else.",Neutral,Information
"William Koumrian are you aware multiple OPD officers and ranking leadership were involved in actively trafficking underage girls? Yeah. A bunch of them resigned over it. It was a major scandal. How quick we forget. Also, what exactly is OPD doing??? Ever call 911 here? It's an absolute fucking joke. A guy was getting assulted next door last time I called. 18 hours later a cop called to see if we still needed assistance. The police here basically serve as revenue generators for the slush fund. And I quote: ""Our job isn't to protect anybody, our job is to protect property, and document crimes after they happen.""",Neutral,Irrelevant
Thanks to the mayor and all the libtards the police can’t do anything because it might offend someone.,Neutral,Irrelevant
Nice try Josh Bister; from your contextual use of the nonword 'Libtard' everyone now accepts you have a double digit IQ and don't have a lot to offer the conversation. A handful of police officers passing around a 14 year old girl. Pretty fucking sure any decent human being would find offense.,Neutral,Information
"Out of curiosity Brian. If you were in charge of them, how can the OPD do a better job?",Neutral,Irrelevant
Images,Neutral,Irrelevant
And O.P.D. just drives by and does nothing...you see their handlers and the police just let it happen,Neutral,Information
They are part of the problem *sips tea*,Neutral,Information
My point exactly. Even after that young lady came forward and named names it still didn't make a dent,Neutral,Information
Honestly they were fuckin that one girl Celeste whatever her name was,Neutral,Information
o gtfo this isn’t about the police it’s about the Fact that Sex trafficking in Oakland is NOT A FKN HOT SPOT FOR SEX TRAFFICKING,Negative,Disagrees
Opd does stop to trick,Neutral,Information
I live in Oakland. Where is this going on? Because all I can see is from little Mexico to the dubs.,Negative,Disagrees
Chantay Laimont,Neutral,Share/Tag
"Haha, it's Oakland so it's probably gonna result in a sex traffic jam coz they'll prob have to use 880 or 580..  hahah am I rite or am I rite??",Neutral,Irrelevant
You have children and you’re trying to make a joke about sex trafficking..?,Neutral,Aware
"No, im making a joke about traffic in Oakland. Sex trafficking is terrible.. duh.",Neutral,Aware
Do you really truly think I don't think sex trafficking is terrible?,Neutral,Aware
"How the hell would I know? I don’t truly know you, all I can see is your comment and its offensive contrast to your profile pic. Hence my question. You’re cracking a joke under a post which clearly isn’t about vehicular traffic. I shouldn’t have to explain why that comes off as disturbingly unaware.",Neutral,Irrelevant
C'mon man.. the world's got a lot of problems. We can laugh while we work to solve them.,Neutral,Irrelevant
The unawareness was pretty much the punchline. No one familiar with Oakland is going to say sex trafficking isn't a problem. Well. Wait. It's Oakland.. you can't be sure here.. read the rest of the comments and you'll see what I mean..,Positive,Aware
It's  been happening in Oakland for a long while.,Positive,Aware
Veronice,Neutral,Share/Tag
Katie Reilly,Neutral,Share/Tag
I am on my way to rescue.,Neutral,Other
April Rain,Neutral,Share/Tag
Where the Asians at?,Neutral,Aware
Its beneficial for both parties...,Neutral,Misunderstanding
It is not beneficial for children to be sold for sex.,Neutral,Aware
They choose to do that so leave them alone... unless you are goig to give them money...,Neutral,Misunderstanding
Children don't choose that. That would be the same as saying they choose to be molested.,Neutral,Aware
Where are their parents? They wanted it. Quick bucks... they make more money than us...,Neutral,Misunderstanding
Amy Pak,Neutral,Share/Tag
Luis Cuevas wtf I haven't even watched it but I read the title this shit crazy to me especially out here,Neutral,Shocked
Tasha Dunham,Neutral,Share/Tag
How many more Celeste Guap 's are still in bed with the police around this country. WOW!,Neutral,Irrelevant
Damn,Neutral,Shocked
Duh,Neutral,Irrelevant
"Everyone puts the problem on OPD how about yâ€™all husbands, uncle, cousins, and friends stop buying pussy first. If thereâ€™s no demand for it....maybe it will make a difference",Neutral,Aware
"This has been for yrs! Form Oak Ca/ SF. Ca. Across the state, around the World! Young ppl.are not always running away the are being Taken from the area!ðŸ˜©ðŸ˜³ðŸ˜ŽðŸ’œ",Positive,Aware
Never gone stop ya digggg,Neutral,Irrelevant
"Krishtine check out some of the comments here... folks living in Oakland... I wonder how close to me... white dudes, black dudes, brown dudes... dads with kids... this shit is funny to them. I feel less and less safe around the male gender every day Iâ€™m alive. Smfh",Neutral,Shocked
But some are just regular ass hoochies hookin it. They got kids. Kids need to eat. Hit E14 and support working women.,Negative,Information
I remember my home in the early 70's was safe and beautiful... smdh,Neutral,Shocked
It is important to clarify that a sex trafficking victim is forced into the sex industry against his or her will by some measure of deception or coercion for the purpose of exploitation. There is no element of choice for the trafficked person.,Neutral,Other
So prostitution has a new name!!!,Negative,Misunderstanding
Ivan Calderon,Neutral,Share/Tag
International and 16th  get what ask for lol,Neutral,Information
Get a real job pimps... You know wtf youre doin' and it's creepy af!,Neutral,Aware
90% of these hoes are ready and willing. Not forced,Negative,Disagrees
So where's this at? I'd like to know for scientific reasons.,Neutral,Irrelevant
They dont mind the hoes. They dont want the pimps.,Neutral,Misunderstanding
Yo Gtfo with this bullshit,Negative,Angry
Yo This Tread is Starting to piss me off,Negative,Angry
Mosheh A. Milon Mosheh Milon Sr. Lisa McClendonLisa McClendon,Neutral,Share/Tag
Mosheh A. Milon,Neutral,Share/Tag
Mosheh Milon Sr.,Neutral,Share/Tag
The oldest gig in the world. How have we done to stop it all this time? LoL,Neutral,Aware
"On a slightly lighter side, you shouldn't rent them either. Just sayin'. Please don't shoot me.",Positive,Aware
OPD was pimping and tricking.  START WITH THEM,Neutral,Information
"I think she is waiting for the bus, what's the fuss. Lol.. however, on the serious side of this topic, children and all that are being trafficed, hopefully will be rescued.",Positive,Other
Why harass these hookers who are just trying to make s buck or two. It's the oldest profession there is and should be legalized so the cops can focus on the real crooks.,Negative,Misunderstanding
I was back in Oakland a couple of years ago and they still out there I also seen Bridget the Midget when I left Cali she was out there 20 years later I go back and she still there damn,Neutral,Information
Bought...no...rented !!!,Neutral,Irrelevant
Joy L T Edison,Neutral,Share/Tag
Yes beware,Neutral,Aware
So is the White House,Neutral,Irrelevant
,,
Meredith Kiyomura ðŸ˜­,Neutral,Share/Tag
Image holding yellow card,Neutral,Aware
Image holding red card,Neutral,Aware
"I think the San Francisco way of handling it is to legalize it, tax it and regulate it just like weed.",Neutral,Irrelevant
The SF way tax tax tax,Neutral,Irrelevant
"right cuz weed is as bad as human trafficking, also how long have you lived in the bay?",Neutral,Aware
"I've lived here 37 years. The liberal solution is indeed legalization, look at the Norwegian countries which is what San Francisco is always trying to emulate. People who can't put an arguement together on FB usually go for character assassination.  Many of the same arguements for legalizing marijuana can be applied to prostitution. War on drugs didn't work, war on sex work apparently doesn't either - trafficking is the result.",Neutral,Aware
,Neutral,Other
There are people who are being in slaved in this day and age they are enslaved the new were making weed jokes people go missing but I suppose it canâ€™t be missing if you didnâ€™t notice them in the first place these are human beings being assaulted abused and forced against her will did you want to make a joke about that?,Positive,Aware
"I agree. One needs to educate themselves on this underground madness, it's not funny, but unfortunetly  some people in this world try to find a way to make others hardships a joke smh...unless it was their cousin,  sister, or even little brother,  when it directly affects some people their heart softens quickly.  It's such a horrible problem.",Positive,Aware
"you both must not understand humour very well, dark humour is used to release painful feelings or ideals but trying to make light out of it.",Neutral,Irrelevant
but some people are just assholes lol,Negative,Aware
Cody Lau,Neutral,Share/Tag
Patricia FeelerðŸ˜±,Neutral,Share/Tag
MashÃ¡ Ponce,Neutral,Share/Tag
I sell myself for Tacos,Neutral,Irrelevant
Video,Neutral,Irrelevant
Video,Neutral,Irrelevant
Video,Neutral,Irrelevant
Video,Neutral,Irrelevant
Video,Neutral,Irrelevant
Video,Neutral,Irrelevant
Hamilton Nguyen,Neutral,Irrelevant
Margot the only asshole is the one who wont support me selling myself for tacos,Neutral,Irrelevant
"Watch trafficking actually BE from immigrant cartels, selling for tacos, and have the sanctuary city policy protect them",Neutral,Irrelevant
"Hamilton Nguyen I feel sorry for your mom and if you have sisters. Youâ€™re a disgrace to make fun of something that impacts even girls as young as 5, who are RAPED by grown men. Youâ€™re a disgusting POS",,Aware
Margot Goldstein you obviously are a man hating person who doesnt even consider that males are part of sex trafficking and you then go on to talk shit because we are not of the same opinion. This is what liberal media has instilled into you puppets and its a shame if youre still a teacher in the city because those kids will grow up with a twisted and childish mind like your own.,,Irrelevant
Its a shame you were even born because you arent a valuable or contributing member of society. Eat shit and crawl in a gutter.,,Irrelevant
Judging by your pictures and your friends you support blm and antifi. Shame. Shame that someone as ignorant and misguided as you are around vulnerable childrens minds.,,Irrelevant
We need to stop calling it sex ______________. Itâ€™s forced prostitution.,,Misunderstanding
That makes literally no sense. You donâ€™t know what words mean.,,Irrelevant
"Nash Ross yes I do. Sex is consenting to a physical relationship. Anything forced is RAPE, not sex.",,Misunderstanding
"Sigh. Try not have a strong opinion about something you legitimately do not understand the terminology of. This is ignorant and actively destructive to vulnerable people, not to mention incredibly rude to sex workers. Please DO look into sex-worker lead activism and learn what the hell youâ€™re talking about. I suggest the red umbrella project, tits and sass, the Desiree alliance, Stella, and others affiliated with them. Do not form opinions based on anything from anyone that is not in the industry actively. Read books written by sex workers. I suggest Melissa Gira Grant. Understand that not understanding sex work is also very directly tied to the deaths of black trans women. I am not joking. You seem like you want to help, so letâ€™s begin with education on this.",,Aware
Nash Ross sex work and â€œsexâ€ trafficking are not the same. One is a choice.,,Aware
Nash Ross http://www.nswp.org/sites/nswp.org/files/KDTD_Human_Trafficking_And_Sex_Work.pdf,,Aware
https://www.google.com/amp/s/blog.theexodusroad.com/human-trafficking-prostitution-difference%3fhs_amp=true,,Aware
Sarah,,Share/Tag
I fucking hate SF,,Irrelevant
Carmen,,Share/Tag
Maria Fernanda La Rotta,,Share/Tag
Wow,,Shocked
"Sex work should be made legal. That would take care of much of this, protect the girls & create tax money. Now how about farm laborers in the same situation?",,Aware
Hhhhhhhhhhhhhhhhh you people make this shit,,Irrelevant
Carla Suarez I swear Iâ€™m not lying about that hippie,,Irrelevant
Nicole Matzembacker,,Share/Tag
Sex and food is the same WE ALL Need it. It will never stop,,Misunderstanding
Sex is not FORCED.,,Misunderstanding
Maybe sounds stupid. But it will never STOP.  It's part of human entertainment industry. We all need food. SEX WORK LIKE FOOD.,,Misunderstanding
I hope I didn't upset or anger YOU. It's hard to get government help for some. Trafficking is income sad but true. Nobdy is force to have sex,,Misunderstanding
At one time a part of San Fra Cisco was called the Barbery Cost. In speakable stuff went on. I hope it hasn't returned to the old days.,,Shocked
,,Other
I sell myself for rent money. SF is just too damn expensive. So why not,,Misunderstanding
Watch the trafficking come from cartels and have the sanctuary city leave them be,,Irrelevant
"Knowledge,",,Aware
Anand Mahalingam wtf,,Share/Tag
Jaysus,,Shocked
Chryyyyyyyyyst,,Shocked
Stop the gays,,Prejudiced
Stop the trolls. Gay people arenâ€™t enslaving girls and women. Thatâ€™s STRAIGHT MEN!,,Aware
,,Other
"Well this post brought out all of the worst people in SF. Racists, homophobes, and people who hate sex workers. Good job San Francisco!",,Irrelevant
Sf was like a utopian dream until I was there enough to know that it wasnâ€™t.,,Aware
It never has been. Liberals aren't leftists,,Irrelevant
Nash Ross check this out,,Share/Tag
Lol itâ€™s so horrible. Look at these morons holy shit.,,Shocked
"This showed up in my feed, I'm assuming because of our messages to eachother. Facebook is next level creepstering",,Irrelevant
How to fight such ignorance tho? They truly believe every sex worker has been coerced and tricked into it,,Misunderstanding
It is important to clarify that a sex trafficking victim is forced into the sex industry against his or her will by some measure of deception or coercion for the purpose of exploitation. There is no element of choice for the trafficked person.,,Other
The same as any other kind of human trafficking. ALL of it is bad. Don't just focus on one aspect.,,Aware
It's important to note that your video is incorrect on multiple levels and your page is more than likely run by RadFems who want to make people believe that all sex workers are 1. Female and 2. Sex trafficking victims. You have an agenda based on the perceived victimization of women and moral purity  Most sex workers in San Francisco are doing so by choice and are perfectly content to be doing so,,Misunderstanding
So traffic in this Road,,Irrelevant
Itâ€™s true women still are exploited by forcing them into pornograhy and as sex objects but they also lead in forced labor where working conditions are beyond cruel. While men...their numbers are nearly just as bad. And add organ harvesting and medical experimentation on helpless unwilling victims. The situation is dire and being overlooked.,,Aware
Arrest anyone who does this to anyone childðŸ˜§,,Other
Do u have a # I can call,,Information
Ricco Thompson Sr.,,Share/Tag
Some of them just like walking the blade yâ€™all mainey,,Misunderstanding
First thing I seen: â€œstop the traffikâ€ and the bridge... great way to pitch false advertisement.,,Irrelevant
Cant afford for them hahaha,,Irrelevant
Image of three sets of praying hands,,Aware
Angel Au time to move,,Shocked
"I heard about this, Santa Clara/ Cupertino/ and San Jose...",,Information
Nikki Chang Crystal Lee Brina Vue,,Share/Tag
"Check in with all the massage shops in San Jose. When you see three of them on the same block, that should be an indication of some thing illegal going on.",,Information
"It's called ""Man Jose"" for a reason...",,Aware
Christian Bozarth,,Share/Tag
Elizabeth Naranjo,,Share/Tag
Fernanda De Velasco be careful babe,,Aware
Get rid of the refugees illegals and stop letting these terrorists into our country!,,Prejudiced
Just cruise down Monterey Road and you'll see them in plain view.,,Information
Its crazy how they just roll ppl just roll up and scoop a hoe with Hella traffic on that stripðŸ˜³,,Information
Ramanjot Sidhu,,Share/Tag
Democrats....,,Irrelevant
It's not Democrats only! have you taken note on the POS that's at the WH?,,Irrelevant
"Since I was a kid in San Jose Downtown San Jose I've been seeing women getting pimped out and putting themselves out there on the tracks. San Jose has been pimping in since been pimping since been pimpin. Monterey Road Southside Drive, Monterey Road from downtown 1st Street to keys Alameda and sunol, Alameda Newhall, Eastside Alum Rock Jackson White Road McKee. To name a few. All of a sudden this is an issue lol Pussy has been selling since the start of this Nation. It's fucked up that young girls are manipulated and intimidated into this. It's also sad that many women see this as a career choice. Good luck and shutting it down. I think police can make some bust and clean up in the area for a second but in the long run Pimpin ain't never going to be dead and some women ain't never going to stop selling their pussy because they say that's what it's got to be to take care of them self. #sadStateofAffairs",,Information
"How about doing something about homelessness, thatâ€™s more pressing than this.",,Angry
ðŸ‘ðŸ¾,,Other
"Legalize it. Removes the pimps and other criminal elements in the equation. Educate the sex workers to improve their selves and leave that industry. If they don't want a career change, tax them like any business. Fuck the moral police! Solve the fucking reasons why a woman choose to sell their bodies and not judge their reasons.",,Misunderstanding
Its like in the days of Soddom and Gomorrah you cant do anything but repent. Eventually they will all be destroyed at the end history is just repeating itself.,,Irrelevant
"Graham, David, Ed ðŸ˜ˆðŸ‘ðŸ†",,Share/Tag
Pip Chan,,Share/Tag
It is important to clarify that a sex trafficking victim is forced into the sex industry against his or her will by some measure of deception or coercion for the purpose of exploitation. There is no element of choice for the trafficked person.,,Other
Gisselle Varas,,Prejudiced
ðŸ˜¢,,Other
The best thing going is pimping and hoeing,,Misunderstanding
President TRUMP need to send all this people from other countries   back and do  all that in there COUNTRY I know it was here with all the black people that likes to pimp the girls but at least they were adults these are children they're selling now UGH,,Prejudiced
Raychel Bariao,,Share/Tag
Well some of those women are living the nice lifestyle charging $200 - $300 a fuck so how can you feel bad for them it's not like they can run or anything,,Misunderstanding
My nieghborhood been the spot bitch ass liberal city doesnt do shit about it they let Monterey be fuckin bastards yet willow glen is perfect thats how democrats operate.,,Aware
Fuck this stupid fuckin city,,Irrelevant
People should have more common sense then to just give in to being groomed!,,Misunderstanding
HOW CAN THIS BE STOP WHO KNOWS IT'S NOT GOOD AT ALL ALL KIDS ARE ANGELS,,Wants to help/learn
,,
So sad. We need to do what we can to stop this.,Positive,Wants to help/learn
Tagged Azeem Ayyaz,Neutral,Share/Tag
"Peterborough is the capital of the Eastern European workers.Yes,they are the victims of their own people!",Positive,Aware
U are the same 😂,Neutral,Other
"Really,how is that?I am not Eastern European like you mate ;-)",Neutral,Other
Definitely not Gypsy !,Neutral,Other
How are they??,Neutral,Other
That's Wisbech and Boston too.,Neutral,Information
"Because many Brits refuse to do the work. People will always move to where there is work. If the locals don't want to do the work and want to sit and get dole payments, then they cannot bitch, moan and whinge when others move in for the jobs.",Neutral,Misunderstanding
The polish shop on the triangle pay some cash in hand and not even the minimum wage,Neutral,Information
Maybe it is a polish shop but probably not running by polish people....,Neutral,Other
It is,Neutral,Other
"That's not slavery, is it.",Neutral,Aware
